Date,stocktotal,stockgasoline,stockdistilled,pricegasoline,pricedistilled,consgasoline,consdistilled,gdp
"Nov 03, 1995",195596,155634,130050,46704,46956,52143,22106,7799.5
"Nov 10, 1995",190148,150964,131011,46578,46956,59339,21728,7799.5
"Nov 17, 1995",192278,152089,130504,46452,46998,56147,25802,7799.5
"Nov 24, 1995",193076,151813,133426,46494,47208,54880,22960,7799.5
"Dec 01, 1995",196904,156079,134885,46536,47166,52073,22302,7799.5
"Dec 08, 1995",196587,154306,133613,46620,47208,55643,26775,7799.5
"Dec 15, 1995",198690,156542,129379,47208,47460,52423,28224,7799.5
"Dec 22, 1995",197873,154860,126452,47376,47922,56805,28014,7799.5
"Dec 29, 1995",203744,160817,128268,47418,48216,49245,22645,7799.5
"Jan 05, 1996",203560,160271,130131,47838,48132,55706,21245,7893.1
"Jan 12, 1996",205546,162058,125364,48090,48384,52591,27139,7893.1
"Jan 19, 1996",210659,167475,121184,47796,48048,48643,26495,7893.1
"Jan 26, 1996",211887,166922,116922,47586,47712,51751,25998,7893.1
"Feb 02, 1996",214405,169284,111644,47460,47460,52591,26187,7893.1
"Feb 09, 1996",213627,168460,102876,47292,47628,52640,30296,7893.1
"Feb 16, 1996",212443,168209,98416,47586,48342,55076,26509,7893.1
"Feb 23, 1996",210443,166350,98896,48426,48888,54782,23184,7893.1
"Mar 01, 1996",213605,168668,96810,49140,49350,51366,25907,7893.1
"Mar 08, 1996",209769,165753,96882,49182,49266,55139,22351,7893.1
"Mar 15, 1996",209171,164246,92696,49602,49224,54299,27580,7893.1
"Mar 22, 1996",205883,162730,88281,50820,50820,55300,25550,7893.1
"Mar 29, 1996",203802,160490,89008,51366,51324,52976,21693,7893.1
"Apr 05, 1996",201988,159790,87627,52416,52458,50960,21189,8061.5
"Apr 12, 1996",201051,159287,88394,54054,54810,54628,21427,8061.5
"Apr 19, 1996",203880,160328,87153,54642,54768,52031,25277,8061.5
"Apr 26, 1996",204218,160105,87737,55356,53970,56553,23352,8061.5
"May 03, 1996",204185,160812,89442,55482,54264,53144,20993,8061.5
"May 10, 1996",202692,160562,90494,55566,53970,57869,22064,8061.5
"May 17, 1996",204906,164093,90406,55860,53508,52584,22491,8061.5
"May 24, 1996",205722,163784,92907,55482,52668,56560,21063,8061.5
"May 31, 1996",206134,163678,96069,55230,52080,54852,19768,8061.5
"Jun 07, 1996",205584,163024,96339,54894,51030,55622,23513,8061.5
"Jun 14, 1996",205494,162379,99386,54684,50106,55699,20363,8061.5
"Jun 21, 1996",206541,165677,99833,54138,49518,55692,23562,8061.5
"Jun 28, 1996",202987,161284,100441,53718,49224,59941,21966,8061.5
"Jul 05, 1996",201677,160470,102874,53592,49266,56105,19943,8159
"Jul 12, 1996",200373,161143,104383,53466,49476,55776,21210,8159
